"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10","RMSE_combined"
"182",182,"Petrale Sole",0.474,0.2542,28.3932691056074,0.72,"CSTbjuv.a LSTpjuv ",0.51309359,0.4282422,NA
"183",183,"Petrale Sole",0.479,0.1689,31.2061327690907,0.72,"CSTbjuv.b LSTpjuv ",0.56662163,0.42637825,NA
"184",184,"Petrale Sole",0.439,0.0646,32.7568080614994,0.68,"CSTegg1 LSTbjuv.a ",0.50656675,0.63758781,NA
"185",185,"Petrale Sole",0.554,0.0762,33.5253648619527,0.68,"CSTegg2 LSTbjuv.a ",0.46718358,0.42374213,NA
"186",186,"Petrale Sole",0.427,0.0769,32.4265842604044,0.68,"CSTlarv LSTbjuv.a ",0.41937974,0.39949727,NA
"187",187,"Petrale Sole",0.419,0.15,30.363208343187,0.72,"CSTpjuv LSTbjuv.a ",0.37396257,0.34929879,NA
"188",188,"Petrale Sole",0.441,0.1802,29.7021722626118,0.72,"CSTbjuv.a LSTbjuv.a ",0.5591298,0.44288574,NA
"189",189,"Petrale Sole",0.473,0.0679,33.0161034464616,0.68,"CSTbjuv.b LSTbjuv.a ",0.54753561,0.44333588,NA
"190",190,"Petrale Sole",0.449,0.1118,32.1747001754217,0.64,"CSTegg1 LSTbjuv.b ",0.54753561,0.44333588,NA
"191",191,"Petrale Sole",0.561,0.0877,33.2420419930702,0.68,"CSTegg2 LSTbjuv.b ",0.56662163,0.42637825,NA
"192",192,"Petrale Sole",0.424,0.101,31.7653847920245,0.72,"CSTlarv LSTbjuv.b ",0.50656675,0.63758781,NA
"193",193,"Petrale Sole",0.416,0.1779,29.5315828371557,0.72,"CSTpjuv LSTbjuv.b ",0.46718358,0.42374213,NA
"194",194,"Petrale Sole",0.413,0.2836,27.4101232511258,0.76,"CSTbjuv.a LSTbjuv.b ",0.41937974,0.39949727,NA
"195",195,"Petrale Sole",0.471,0.1488,31.6921420636692,0.68,"CSTbjuv.b LSTbjuv.b ",0.37396257,0.34929879,NA
"196",196,"Petrale Sole",0.421,0.1234,31.1357799675658,0.68,"CSTegg1 CSTlarv ",0.5591298,0.44288574,NA
"197",197,"Petrale Sole",0.41,0.2008,28.8243019622019,0.68,"CSTegg1 CSTpjuv ",0.46542383,0.44165921,NA
