"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10","RMSE_combined"
"494",494,"Sablefish",1.776,0.1524,92.2967315086186,0.375,"CSTlarv DDyolk LSTpjuv",NA,NA,4.764
"495",495,"Sablefish",1.812,0.2724,88.6505919511833,0.5,"CSTbjuv DDyolk LSTpjuv",NA,NA,5.049
"496",496,"Sablefish",1.328,0.5495,80.0777447935972,0.625,"CSTegg DDyolk LSTbjuv",NA,NA,4.143
"497",497,"Sablefish",1.492,0.4679,84.5840090762202,0.5,"CSTyolk DDyolk LSTbjuv",NA,NA,4.318
"498",498,"Sablefish",1.763,0.3271,88.1027223463109,0.5,"CSTlarv DDyolk LSTbjuv",NA,NA,4.738
"499",499,"Sablefish",1.694,0.3097,88.4537657267823,0.5,"CSTpjuv DDyolk LSTbjuv",NA,NA,4.845
"500",500,"Sablefish",1.549,0.3885,85.5157197993646,0.375,"CSTbjuv DDyolk LSTbjuv",NA,NA,4.523
"501",501,"Sablefish",1.699,0.2789,88.7710274193123,0.375,"CSTegg CSTpjuv DDyolk",NA,NA,4.885
"502",502,"Sablefish",1.799,0.3046,88.3986040057205,0.541666666666667,"CSTbjuv CSTegg DDyolk",NA,NA,5.023
"503",503,"Sablefish",1.624,0.3277,89.5200084144231,0.416666666666667,"CSTpjuv CSTyolk DDyolk",NA,NA,4.705
"504",504,"Sablefish",1.762,0.2665,90.0781674420681,0.458333333333333,"CSTbjuv CSTyolk DDyolk",NA,NA,4.949
"505",505,"Sablefish",1.776,0.1505,91.6559501386279,0.375,"CSTbjuv CSTlarv DDyolk",NA,NA,4.977
"506",506,"Sablefish",1.959,0.1465,93.1752939061152,0.458333333333333,"DDbjuv DDlarv MLDegg",NA,NA,5.4
"507",507,"Sablefish",1.962,0.1515,93.0548653419282,0.375,"DDbjuv DDlarv LSTegg",NA,NA,5.406
"508",508,"Sablefish",1.91,0.1508,93.0265427219456,0.375,"DDbjuv DDlarv LSTyolk",NA,NA,5.302
"509",509,"Sablefish",1.888,0.1531,92.8885705775057,0.375,"DDbjuv DDlarv LSTlarv",NA,NA,5.258
"510",510,"Sablefish",1.758,0.2302,90.5079097394069,0.625,"DDbjuv DDlarv LSTpjuv",NA,NA,4.998
"511",511,"Sablefish",1.851,0.4453,84.9670619154043,0.666666666666667,"CSTegg DDbjuv DDlarv",NA,NA,5.189
"512",512,"Sablefish",1.81,0.449,85.4572488572254,0.625,"CSTyolk DDbjuv DDlarv",NA,NA,4.954
"513",513,"Sablefish",1.861,0.2488,90.9872473863263,0.5,"CSTlarv DDbjuv DDlarv",NA,NA,4.934
"514",514,"Sablefish",1.766,0.2832,89.0409664634176,0.541666666666667,"CSTpjuv DDbjuv DDlarv",NA,NA,4.989
"515",515,"Sablefish",1.784,0.0221,95.0327818529063,0.208333333333333,"DDlarv LSTyolk MLDegg",NA,NA,5.164
"516",516,"Sablefish",1.704,0.0413,94.5563198872909,0.333333333333333,"DDlarv LSTlarv MLDegg",NA,NA,5.004
"517",517,"Sablefish",1.652,0.1036,92.9441874625376,0.5,"DDlarv LSTpjuv MLDegg",NA,NA,4.9
"518",518,"Sablefish",1.616,0.3012,88.7179945941076,0.541666666666667,"DDlarv LSTbjuv MLDegg",NA,NA,4.828
"519",519,"Sablefish",1.538,0.2575,89.9139552334269,0.458333333333333,"CSTegg DDlarv MLDegg",NA,NA,4.563
"520",520,"Sablefish",1.657,0.1998,92.6684156325029,0.333333333333333,"CSTyolk DDlarv MLDegg",NA,NA,4.648
"521",521,"Sablefish",1.691,0.0614,94.0491439694888,0.291666666666667,"CSTlarv DDlarv MLDegg",NA,NA,4.594
"522",522,"Sablefish",1.699,0.1623,92.0485260966569,0.416666666666667,"CSTpjuv DDlarv MLDegg",NA,NA,4.855
"523",523,"Sablefish",1.71,0.0911,93.2779631570659,0.416666666666667,"CSTbjuv DDlarv MLDegg",NA,NA,4.845
