"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10","RMSE_combined"
"116",116,"Yellowtail",0.407,0.208,27.4756328262664,0.52,"MLDpart oni_pre ",0.32613274,0.34545079,1.812
"117",117,"Yellowtail",0.406,0.2924,25.2764008548516,0.56,"MLDpart oni_larv ",0.32689956,0.35282624,1.81
"118",118,"Yellowtail",0.404,0.2046,26.8071914984753,0.56,"MLDpart oni_pjuv ",0.32296771,0.35184824,1.806
"119",119,"Yellowtail",0.408,0.1369,28.8516355591355,0.48,"MLDpart pdo_larv ",0.32296771,0.35184824,1.814
"120",120,"Yellowtail",0.408,0.1637,28.0626151354285,0.6,"MLDpart pdo_pjuv ",0.32296771,0.35184824,1.814
"121",121,"Yellowtail",0.428,0.2229,27.2331231127529,0.56,"CutiSTIpjuv MLDpart ",0.32296771,0.35184824,2.078
"122",122,"Yellowtail",0.423,0.1126,29.5454200344725,0.56,"CutiTUMIpjuv MLDpart ",0.32296771,0.35184824,1.872
"123",123,"Yellowtail",0.539,0.145,29.293773659753,0.6,"BeutiTUMIpjuv MLDpart ",0.38439525,0.41864256,2.111
"124",124,"Yellowtail",0.429,0.1532,28.3732371323991,0.64,"BeutiSTIpjuv MLDpart ",0.32689956,0.35282624,2.069
"125",125,"Yellowtail",0.392,0.2203,26.3087222753894,0.56,"MLDlarv MLDpjuv ",0.29238282,0.31137896,1.768
"126",126,"Yellowtail",0.415,0.1956,27.0904682905358,0.48,"CSTlarv MLDlarv ",0.38439525,0.41864256,1.846
"127",127,"Yellowtail",0.404,0.1614,28.1294498934597,0.56,"CSTpjuv MLDlarv ",0.32689956,0.35282624,2.377
"128",128,"Yellowtail",0.395,0.1818,27.5142398483411,0.56,"LSTpjuv MLDlarv ",0.42289337,0.42603615,1.817
"129",129,"Yellowtail",0.407,0.1954,27.1461595011764,0.48,"MLDlarv oni_pre ",0.38439525,0.41864256,1.798
"130",130,"Yellowtail",0.418,0.2823,25.457786105115,0.52,"MLDlarv oni_larv ",0.32689956,0.35282624,1.82
"131",131,"Yellowtail",0.401,0.2169,26.4185472399705,0.6,"MLDlarv oni_pjuv ",0.29238282,0.31137896,1.786
"132",132,"Yellowtail",0.415,0.1783,27.9063712404769,0.52,"MLDlarv pdo_larv ",0.38439525,0.41864256,1.814
"133",133,"Yellowtail",0.397,0.1814,27.5262762157951,0.64,"MLDlarv pdo_pjuv ",0.32689956,0.35282624,1.778
"134",134,"Yellowtail",0.413,0.2393,26.4137386720441,0.52,"CutiSTIpjuv MLDlarv ",0.38439525,0.41864256,2.048
"135",135,"Yellowtail",0.408,0.1518,28.4153543818381,0.56,"CutiTUMIpjuv MLDlarv ",0.32689956,0.35282624,1.842
"136",136,"Yellowtail",0.457,0.2231,27.3743503399654,0.6,"BeutiTUMIpjuv MLDlarv ",0.38439525,0.41864256,1.947
"137",137,"Yellowtail",0.412,0.1936,27.1510000533245,0.56,"BeutiSTIpjuv MLDlarv ",0.3427491,0.348285,2.035
"138",138,"Yellowtail",0.493,0.0496,31.5391161307344,0.28,"CSTlarv MLDpjuv ",0.32613274,0.34545079,2.002
"139",139,"Yellowtail",0.444,0.0321,31.7152410847292,0.4,"CSTpjuv MLDpjuv ",0.3427491,0.348285,2.457
"140",140,"Yellowtail",0.42,0.2351,27.3673888434598,0.6,"LSTlarv MLDpjuv ",0.38439525,0.41864256,1.915
"141",141,"Yellowtail",0.444,0.0397,31.5182562732723,0.4,"LSTpjuv MLDpjuv ",0.32689956,0.35282624,1.915
"142",142,"Yellowtail",0.446,0.2198,27.946647226221,0.56,"MLDpjuv oni_pre ",0.32613274,0.34545079,1.962
"143",143,"Yellowtail",0.441,0.3198,25.2020087791483,0.52,"MLDpjuv oni_larv ",0.41502301,0.37261251,1.952
"144",144,"Yellowtail",0.397,0.2381,25.7328059087685,0.6,"MLDpjuv oni_pjuv ",0.41502301,0.37261251,1.864
"145",145,"Yellowtail",0.447,0.0303,31.7628292937912,0.44,"MLDpjuv pdo_larv ",0.41502301,0.37261251,1.964
"146",146,"Yellowtail",0.429,0.0986,29.9368873275935,0.52,"MLDpjuv pdo_pjuv ",0.38439525,0.41864256,1.928
"147",147,"Yellowtail",0.432,0.1926,28.642574922131,0.52,"CutiSTIpjuv MLDpjuv ",0.32689956,0.35282624,2.086
"148",148,"Yellowtail",0.453,0.0296,31.7790557359844,0.4,"CutiTUMIpjuv MLDpjuv ",0.32613274,0.34545079,1.932
"149",149,"Yellowtail",0.514,0.0318,31.7228012888291,0.36,"BeutiTUMIpjuv MLDpjuv ",0.32613274,0.34545079,2.061
"150",150,"Yellowtail",0.453,0.0429,31.4353502103353,0.36,"BeutiSTIpjuv MLDpjuv ",0.32613274,0.34545079,2.117
"151",151,"Yellowtail",0.479,0.0277,31.8298681464213,0.28,"CSTlarv CSTpjuv ",0.32613274,0.34545079,1.974
"152",152,"Yellowtail",0.47,0.0382,31.5564448355385,0.28,"CSTlarv LSTpjuv ",0.32689956,0.35282624,1.956
"153",153,"Yellowtail",0.447,0.2065,28.3722044098618,0.48,"CSTlarv oni_pre ",0.41502301,0.37261251,1.91
"154",154,"Yellowtail",0.42,0.2781,26.1265599712884,0.52,"CSTlarv oni_larv ",0.41502301,0.37261251,1.856
"155",155,"Yellowtail",0.443,0.1466,28.5691823638461,0.4,"CSTlarv oni_pjuv ",0.38439525,0.41864256,1.902
"156",156,"Yellowtail",0.481,0.0214,31.991771001552,0.2,"CSTlarv pdo_larv ",0.32689956,0.35282624,1.978
"157",157,"Yellowtail",0.459,0.0595,30.9981188013859,0.32,"CSTlarv pdo_pjuv ",0.38439525,0.41864256,1.934
"158",158,"Yellowtail",0.459,0.3162,26.3295443420156,0.36,"CSTlarv CutiSTIpjuv ",0.32689956,0.35282624,1.934
"159",159,"Yellowtail",0.492,0.0158,32.1332344748981,0.28,"CSTlarv CutiTUMIpjuv ",0.38439525,0.41864256,2
"160",160,"Yellowtail",0.573,0.0252,31.8923931795359,0.24,"BeutiTUMIpjuv CSTlarv ",0.4425048,0.39573152,2.179
"161",161,"Yellowtail",0.496,0.0398,31.5807917193494,0.16,"BeutiSTIpjuv CSTlarv ",0.32613274,0.34545079,2.203
"162",162,"Yellowtail",0.439,0.1418,30.0267714152554,0.52,"CSTpjuv LSTlarv ",0.4425048,0.39573152,2.447
"163",163,"Yellowtail",0.435,0.2032,28.4675733377455,0.56,"CSTpjuv oni_pre ",0.4425048,0.39573152,2.439
"164",164,"Yellowtail",0.418,0.2795,26.0741990367704,0.6,"CSTpjuv oni_larv ",0.3427491,0.348285,2.405
"165",165,"Yellowtail",0.406,0.2124,26.5622800510123,0.68,"CSTpjuv oni_pjuv ",0.3427491,0.348285,2.381
"166",166,"Yellowtail",0.448,0.0092,32.300636684605,0.36,"CSTpjuv pdo_larv ",0.32613274,0.34545079,2.465
"167",167,"Yellowtail",0.433,0.0693,30.7349284038504,0.48,"CSTpjuv pdo_pjuv ",0.3427491,0.348285,2.435
"168",168,"Yellowtail",0.43,0.206,28.2732432396132,0.44,"CSTpjuv CutiSTIpjuv ",0.3427491,0.348285,2.429
