"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10","RMSE_combined"
"539",539,"Hake",1.966,0.2474,105.569314962713,0.44,"CSTlaten CSTpjuvs Tpre",NA,NA,5.96835508
"540",540,"Hake",1.966,0.2474,105.569314972234,0.44,"CSTlaten CSTpjuvs DDpre",NA,NA,5.96835508
"541",541,"Hake",1.919,0.2114,105.235035732461,0.44,"CSTlaten CSTpjuvs MLDlate",NA,NA,5.87435508
"542",542,"Hake",2.089,0.3163,103.729131925211,0.6,"CSTeggs CSTlaten CSTpjuvs",NA,NA,6.21631382
"543",543,"Hake",2.086,0.1485,107.029168549093,0.32,"CSTlaten MLDlarv SSHjac.pre",NA,NA,6.20835508
"544",544,"Hake",2.084,0.1661,106.651043834139,0.4,"CSTlaten MLDlarv Tpre",NA,NA,6.20435508
"545",545,"Hake",2.084,0.1661,106.651043840324,0.4,"CSTlaten DDpre MLDlarv",NA,NA,6.20435508
"546",546,"Hake",2.053,0.2588,104.617830006611,0.56,"CSTeggs CSTlaten MLDlarv",NA,NA,6.14431382
"547",547,"Hake",2.195,0.1981,105.591705542523,0.36,"CSTlaten MLDpjuv SSHjac.pre",NA,NA,6.42635508
"548",548,"Hake",2.009,0.1605,106.203346042522,0.24,"CSTlaten MLDlate SSHjac.pre",NA,NA,6.05435508
"549",549,"Hake",1.983,0.4248,101.306004801295,0.44,"CSTeggs CSTlaten SSHjac.pre",NA,NA,6.00431382
"550",550,"Hake",2.047,0.2902,102.915031806526,0.52,"CSTlaten MLDpjuv Tpre",NA,NA,6.13035508
"551",551,"Hake",2.047,0.2902,102.915031817601,0.52,"CSTlaten DDpre MLDpjuv",NA,NA,6.13035508
"552",552,"Hake",2.025,0.2866,103.002040425568,0.44,"CSTeggs CSTlaten MLDpjuv",NA,NA,6.08831382
"553",553,"Hake",2.018,0.2245,105.020142525745,0.4,"CSTlaten MLDlate Tpre",NA,NA,6.07235508
"554",554,"Hake",2.214,0.2581,105.482709082858,0.36,"CSTeggs CSTlaten Tpre",NA,NA,6.46631382
"555",555,"Hake",2.018,0.2245,105.020142533244,0.4,"CSTlaten DDpre MLDlate",NA,NA,6.07235508
"556",556,"Hake",2.214,0.2581,105.482709085245,0.36,"CSTeggs CSTlaten DDpre",NA,NA,6.46631382
"557",557,"Hake",2.043,0.2809,103.715332116603,0.52,"CSTeggs CSTlaten MLDlate",NA,NA,6.12431382
"558",558,"Hake",2.214,0.1405,107.263455590051,0.32,"DDyolk PUTpjuv SSHmss",NA,NA,6.58465205
"559",559,"Hake",2.516,0.1153,107.850756983983,0.28,"LSTegg PUTpjuv SSHmss",NA,NA,7.08682518
"560",560,"Hake",2.688,0.1505,106.813414038488,0.32,"MLDlarv PUTpjuv SSHmss",NA,NA,7.52204144
"561",561,"Hake",2.394,0.107,108.093684657829,0.28,"PUTpjuv SSHmss Tspawn",NA,NA,6.74795918
"562",562,"Hake",2.388,0.1105,108.073411731644,0.28,"DDspawn PUTpjuv SSHmss",NA,NA,6.86066668
"563",563,"Hake",2.304,0.1856,106.231300858538,0.44,"PUTpjuv SSHjac.pre SSHmss",NA,NA,6.56795918
"564",564,"Hake",2.693,0.2988,102.643711698873,0.48,"MLDpjuv PUTpjuv SSHmss",NA,NA,7.92487298
"565",565,"Hake",2.343,0.1432,107.487112088863,0.24,"PUTpjuv SSHmss Tpre",NA,NA,6.64595918
"566",566,"Hake",2.343,0.1432,107.487112094171,0.24,"DDpre PUTpjuv SSHmss",NA,NA,6.76600486
"567",567,"Hake",2.21,0.3203,102.784020847016,0.36,"MLDlate PUTpjuv SSHmss",NA,NA,6.68503168
"568",568,"Hake",2.296,0.171,106.659365607597,0.36,"CSTeggs PUTpjuv SSHmss",NA,NA,6.63031382
